                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.86945,                0.61143,                0.87041,                0.95531,                 0.9771,                0.99087,                0.74094,                0.88571,                0.56201,                0.79973,              0.0005348,              0.0005348,              0.0005348
                     77,                0.91345,                0.64618,                0.87416,                0.97712,                0.97618,                0.99154,                0.71689,                0.93472,                0.55884,                0.80295,               0.000515,               0.000515,               0.000515
                     78,                0.93037,                0.62298,                 0.8395,                0.96786,                0.97714,                0.99129,                0.68343,                0.97908,                0.55755,                0.80565,              0.0004952,              0.0004952,              0.0004952
                     79,                0.89698,                0.59815,                0.85179,                0.96959,                0.97714,                0.99198,                0.72681,                0.87397,                0.52431,                0.79935,              0.0004754,              0.0004754,              0.0004754
                     80,                0.93133,                0.63365,                0.84632,                0.95486,                0.96699,                0.99135,                0.75285,                0.82004,                0.52289,                0.79619,              0.0004556,              0.0004556,              0.0004556
                     81,                0.97372,                0.66182,                0.86241,                0.97713,                0.97646,                0.99205,                0.74828,                0.83113,                0.51573,                0.79596,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.8878,                0.58114,                0.83424,                 0.9867,                0.98286,                0.99356,                0.75091,                0.84363,                0.50269,                0.79583,               0.000416,               0.000416,               0.000416
                     83,                0.90611,                 0.5741,                0.86673,                0.99422,                0.98229,                 0.9939,                0.74613,                 0.8393,                0.50434,                0.79458,              0.0003962,              0.0003962,              0.0003962
                     84,                0.84538,                0.54849,                0.83888,                0.98845,                0.97786,                 0.9921,                0.75317,                0.84085,                0.50819,                0.79474,              0.0003764,              0.0003764,              0.0003764
                     85,                0.81505,                0.54548,                0.85155,                0.98847,                0.98008,                0.99222,                0.75985,                0.83413,                0.49831,                0.79498,              0.0003566,              0.0003566,              0.0003566
                     86,                0.77448,                0.53288,                0.85129,                0.99422,                0.98279,                0.99438,                0.75022,                0.86227,                0.49699,                0.79671,              0.0003368,              0.0003368,              0.0003368
                     87,                0.82746,                0.55526,                0.84804,                0.98848,                0.98101,                0.99222,                0.71267,                0.92508,                0.49885,                0.80284,               0.000317,               0.000317,               0.000317
                     88,                0.85647,                0.57687,                0.84074,                0.98902,                0.97143,                0.99239,                0.72849,                0.89895,                0.49197,                0.79846,              0.0002972,              0.0002972,              0.0002972
                     89,                0.79115,                0.51188,                0.85957,                0.99257,                0.97714,                0.99271,                0.75103,                0.85392,                0.48416,                0.79594,              0.0002774,              0.0002774,              0.0002774
                     90,                0.82125,                0.54396,                0.86153,                0.98419,                0.98857,                0.99454,                0.76544,                 0.8334,                0.47613,                0.79566,              0.0002576,              0.0002576,              0.0002576
                     91,                0.75764,                0.53938,                0.82405,                 0.9889,                0.97714,                0.99422,                0.75429,                0.83806,                0.47469,                0.79489,              0.0002378,              0.0002378,              0.0002378
                     92,                0.74233,                 0.5371,                0.83291,                0.98848,                0.98078,                0.99422,                0.75385,                 0.8233,                0.47748,                0.79335,               0.000218,               0.000218,               0.000218
                     93,                0.72301,                0.50129,                0.84384,                0.98839,                0.97321,                0.99406,                0.75152,                0.82821,                0.47828,                0.79397,              0.0001982,              0.0001982,              0.0001982
                     94,                0.70122,                0.48899,                0.80497,                0.98827,                0.96249,                0.99394,                0.75606,                0.83815,                0.48176,                 0.7954,              0.0001784,              0.0001784,              0.0001784
                     95,                0.72463,                0.51425,                0.82159,                0.98284,                0.98167,                0.99375,                0.76127,                0.82804,                0.48237,                0.79689,              0.0001586,              0.0001586,              0.0001586
                     96,                0.75834,                0.49357,                0.82934,                0.99419,                0.97714,                0.99391,                 0.7643,                0.82378,                 0.4808,                0.79743,              0.0001388,              0.0001388,              0.0001388
                     97,                0.70247,                0.47615,                0.81937,                0.99418,                0.97675,                0.99391,                0.75693,                0.82878,                0.48314,                0.79823,               0.000119,               0.000119,               0.000119
                     98,                0.72485,                0.49953,                0.82238,                0.99414,                0.96998,                0.99396,                0.75594,                0.82566,                0.47918,                0.79758,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.73439,                0.50229,                0.81045,                0.99123,                0.97714,                0.99408,                0.75007,                 0.8254,                0.47498,                0.79662,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.68696,                0.49944,                0.82944,                0.99072,                0.97714,                0.99408,                0.74596,                0.82191,                0.46981,                0.79513,               5.96e-05,               5.96e-05,               5.96e-05
